Configuracion,Ciclo,Tiempo Total (s),Tokens Entrada,Tokens Salida,Temperature,Top_P,Repeat_Penalty
Config_3_Creativa,11,7.171316146850586,55,60,1.1,0.95,1.4
Config_3_Creativa,12,7.0978076457977295,55,60,1.1,0.95,1.4
Config_3_Creativa,13,6.9849488735198975,55,60,1.1,0.95,1.4
Config_3_Creativa,14,7.227145671844482,55,60,1.1,0.95,1.4
Config_3_Creativa,15,7.266934156417847,55,60,1.1,0.95,1.4
Config_3_Creativa,16,6.7695722579956055,55,60,1.1,0.95,1.4
Config_3_Creativa,17,7.050774812698364,55,60,1.1,0.95,1.4
Config_3_Creativa,18,7.301184892654419,55,60,1.1,0.95,1.4
Config_3_Creativa,19,6.6326518058776855,55,60,1.1,0.95,1.4
Config_3_Creativa,20,6.9810826778411865,55,60,1.1,0.95,1.4
Config_3_Creativa,21,7.022737503051758,55,60,1.1,0.95,1.4
Config_3_Creativa,22,6.999636888504028,55,60,1.1,0.95,1.4
Config_3_Creativa,23,6.947001695632935,55,60,1.1,0.95,1.4
Config_3_Creativa,24,7.228683948516846,55,60,1.1,0.95,1.4
Config_3_Creativa,25,7.255549907684326,55,60,1.1,0.95,1.4
Config_3_Creativa,26,7.259429931640625,55,60,1.1,0.95,1.4
Config_3_Creativa,27,6.971941947937012,55,60,1.1,0.95,1.4
Config_3_Creativa,28,6.767853498458862,55,60,1.1,0.95,1.4
Config_3_Creativa,29,6.9688498973846436,55,60,1.1,0.95,1.4
Config_3_Creativa,30,6.87704610824585,55,60,1.1,0.95,1.4
Config_3_Creativa,31,7.133094310760498,55,60,1.1,0.95,1.4
Config_3_Creativa,32,7.329468250274658,55,60,1.1,0.95,1.4
Config_3_Creativa,33,7.252490282058716,55,60,1.1,0.95,1.4
Config_3_Creativa,34,6.824475288391113,55,60,1.1,0.95,1.4
Config_3_Creativa,35,7.2212913036346436,55,60,1.1,0.95,1.4
Config_3_Creativa,36,7.090975046157837,55,60,1.1,0.95,1.4
Config_3_Creativa,37,6.85460901260376,55,60,1.1,0.95,1.4
Config_3_Creativa,38,7.166963815689087,55,60,1.1,0.95,1.4
Config_3_Creativa,39,7.252745866775513,55,60,1.1,0.95,1.4
Config_3_Creativa,40,6.797234773635864,55,60,1.1,0.95,1.4
Config_3_Creativa,41,7.226602792739868,55,60,1.1,0.95,1.4
Config_3_Creativa,42,7.207041025161743,55,60,1.1,0.95,1.4
Config_3_Creativa,43,6.745772361755371,55,60,1.1,0.95,1.4
Config_3_Creativa,44,7.039194345474243,55,60,1.1,0.95,1.4
Config_3_Creativa,45,7.055101156234741,55,60,1.1,0.95,1.4
Config_3_Creativa,46,6.997051477432251,55,60,1.1,0.95,1.4
Config_3_Creativa,47,7.260688781738281,55,60,1.1,0.95,1.4
Config_3_Creativa,48,7.274522542953491,55,60,1.1,0.95,1.4
Config_3_Creativa,49,6.772750377655029,55,60,1.1,0.95,1.4
Config_3_Creativa,50,6.9403393268585205,55,60,1.1,0.95,1.4
Config_3_Creativa,51,7.10784649848938,55,60,1.1,0.95,1.4
